ax,ay,az,gx,gy,gz,mx,my,mz,target,DateRecord,TimeRecord
3.38,9.0,-1.05,-0.018544,-0.018544,0.01309,21.875,-10.5625,24.375,1,2024-11-14,11:04:39.789514
3.43,9.09,-0.95,-0.002182,-0.077449,0.007636,22.1875,-11.25,24.875,1,2024-11-14,11:04:39.992414
3.45,9.06,-1.0,-0.008727,-0.018544,0.017453,22.1875,-11.25,24.375,1,2024-11-14,11:04:40.134319
3.43,9.01,-0.93,-0.01309,0.002182,-0.017453,22.5625,-10.875,25.25,1,2024-11-14,11:04:40.351235
3.4,9.06,-0.96,0.021817,0.041452,-0.006545,21.5,-10.5625,23.6875,1,2024-11-14,11:04:40.570110
3.38,9.04,-0.94,0.009817,0.016362,-0.02618,22.5625,-10.5625,24.5,1,2024-11-14,11:04:40.775274
3.3,9.08,-0.9,-0.011999,0.016362,-0.017453,22.1875,-10.875,24.875,1,2024-11-14,11:04:40.991303
3.46,8.97,-0.69,-0.106901,0.217075,0.018544,21.5,-10.1875,25.5625,1,2024-11-14,11:04:41.179095
3.18,8.96,-0.26,-0.088357,0.073086,-0.054542,20.375,-10.875,25.5625,1,2024-11-14,11:04:41.395960
3.16,8.96,0.01,0.033816,-0.173442,0.020726,20.375,-11.25,26.75,1,2024-11-14,11:04:41.582854
3.22,9.56,-1.03,0.066541,-0.317432,-0.051269,20.375,-10.1875,25.5625,1,2024-11-14,11:04:41.802541
2.91,9.15,-0.82,-0.073086,0.025089,-0.022907,21.875,-10.1875,26.0625,1,2024-11-14,11:04:41.991448
3.01,9.15,-0.87,0.001091,0.051269,-0.071995,23.375,-11.25,25.6875,1,2024-11-14,11:04:42.224566
2.95,9.48,-1.12,-0.042542,0.088357,-0.071995,22.5625,-9.5,24.875,1,2024-11-14,11:04:42.382474
3.04,9.13,-0.26,-0.094902,-0.050178,0.09163,22.1875,-10.1875,24.875,1,2024-11-14,11:04:42.629331
3.02,9.26,-0.44,0.057814,0.081812,-0.02618,23.0,-11.25,23.6875,1,2024-11-14,11:04:42.833629
2.9,9.27,-0.57,0.032725,0.116719,-0.046906,22.1875,-10.1875,25.5625,1,2024-11-14,11:04:43.022504
2.81,9.26,-0.47,-0.011999,0.054542,-0.034907,21.5,-10.1875,25.5625,1,2024-11-14,11:04:43.224540
2.74,9.23,-0.49,0.070904,0.081812,-0.053451,21.875,-9.5,26.0625,1,2024-11-14,11:04:43.412453
2.79,9.3,-0.56,0.020726,0.062177,-0.021817,21.1875,-9.75,26.375,1,2024-11-14,11:04:43.614338
2.62,9.31,-0.59,-0.002182,0.015272,-0.014181,20.0625,-9.5,27.25,1,2024-11-14,11:04:43.838339
2.69,9.29,-0.57,-0.02618,-0.031634,0.028362,21.1875,-9.0625,28.375,1,2024-11-14,11:04:44.057053
2.71,9.27,-0.54,-0.030543,-0.050178,0.018544,21.1875,-9.5,27.25,1,2024-11-14,11:04:44.245215
2.76,9.28,-0.51,-0.02618,-0.05236,0.02618,21.1875,-9.5,26.0625,1,2024-11-14,11:04:44.449117
2.81,9.28,-0.46,-0.017453,-0.050178,0.022907,21.5,-10.1875,26.75,1,2024-11-14,11:04:44.812503
2.81,9.26,-0.54,-0.014181,-0.040361,0.011999,21.875,-10.5625,25.25,1,2024-11-14,11:04:44.999906
2.82,9.25,-0.51,-0.021817,-0.061087,0.02618,21.5,-10.5625,24.875,1,2024-11-14,11:04:45.184831
